Subject,Start Date,Start Time,End Date,End Time,All Day Event,Reminder On/Off,                  Reminder Date,Reminder Time,Meeting Organizer,Description,Location,Private 
"Cardio",04/20/15,12:00:00,04/20/15,,FALSE,,Your Home Gym!,TRUE 
"Speed 1.0",04/21/15,12:00:00,04/21/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit",04/22/15,12:00:00,04/22/15,,FALSE,,Your Home Gym!,TRUE 
"Ab Intervals",04/23/15,12:00:00,04/23/15,,FALSE,,Your Home Gym!,TRUE 
"Lower Focus & Cardio",04/24/15,12:00:00,04/24/15,,FALSE,,Your Home Gym!,TRUE 
"Rest - Record Stats",04/25/15,12:00:00,04/25/15,,FALSE,,Your Home Gym!,TRUE 
"Stretch",04/26/15,12:00:00,04/26/15,,FALSE,,Your Home Gym!,TRUE 
"Cardio",04/27/15,12:00:00,04/27/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit",04/28/15,12:00:00,04/28/15,,FALSE,,Your Home Gym!,TRUE 
"Speed 1.0",04/29/15,12:00:00,04/29/15,,FALSE,,Your Home Gym!,TRUE 
"Cardio",04/30/15,12:00:00,04/30/15,,FALSE,,Your Home Gym!,TRUE 
"Lower Focus & Ab Intervals",05/01/15,12:00:00,05/01/15,,FALSE,,Your Home Gym!,TRUE 
"Rest - Record Stats",05/02/15,12:00:00,05/02/15,,FALSE,,Your Home Gym!,TRUE 
"Stretch",05/03/15,12:00:00,05/03/15,,FALSE,,Your Home Gym!,TRUE 
"Ab Intervals",05/04/15,12:00:00,05/04/15,,FALSE,,Your Home Gym!,TRUE 
"Speed 1.0",05/05/15,12:00:00,05/05/15,,FALSE,,Your Home Gym!,TRUE 
"Lower Focus",05/06/15,12:00:00,05/06/15,,FALSE,,Your Home Gym!,TRUE 
"Cardio",05/07/15,12:00:00,05/07/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit & Ab Intervals",05/08/15,12:00:00,05/08/15,,FALSE,,Your Home Gym!,TRUE 
"Rest - Record Stats",05/09/15,12:00:00,05/09/15,,FALSE,,Your Home Gym!,TRUE 
"Stretch",05/10/15,12:00:00,05/10/15,,FALSE,,Your Home Gym!,TRUE 
"Cardio",05/11/15,12:00:00,05/11/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit",05/12/15,12:00:00,05/12/15,,FALSE,,Your Home Gym!,TRUE 
"Lower Focus",05/13/15,12:00:00,05/13/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit",05/14/15,12:00:00,05/14/15,,FALSE,,Your Home Gym!,TRUE 
"Ab Intervals & Speed 1.0",05/15/15,12:00:00,05/15/15,,FALSE,,Your Home Gym!,TRUE 
"Rest - Record Stats",05/16/15,12:00:00,05/16/15,,FALSE,,Your Home Gym!,TRUE 
"Stretch",05/17/15,12:00:00,05/17/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit",05/18/15,12:00:00,05/18/15,,FALSE,,Your Home Gym!,TRUE 
"Ab Intervals",05/19/15,12:00:00,05/19/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit",05/20/15,12:00:00,05/20/15,,FALSE,,Your Home Gym!,TRUE 
"Cardio",05/21/15,12:00:00,05/21/15,,FALSE,,Your Home Gym!,TRUE 
"Total Body Circuit & Lower Focus",05/22/15,12:00:00,05/22/15,,FALSE,,Your Home Gym!,TRUE 
"Rest - Record Stats",05/23/15,12:00:00,05/23/15,,FALSE,,Your Home Gym!,TRUE 
"Stretch",05/24/15,12:00:00,05/24/15,,FALSE,,Your Home Gym!,TRUE 
